update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,vp_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
52,425984,1794,37,542.9,2410.5,3.4,7.3,2.23,0.2632,0.1667,0.4286,0.0526,0.2632,,194.7,5.24,-5.0,1.4498,9.43,0.6463,4.26,0.0061,0.0554,0.8329,-0.0056,0.0359,-1.3572,10,random
53,434176,1828,34,553.7,2487.3,3.3,7.3,2.16,0.375,0.5,0.25,0.0,0.375,,214.4,5.62,6.62,1.4274,9.45,0.6357,4.17,0.0047,0.0453,0.7534,-0.0052,0.0485,-1.3569,10,random
54,442368,1868,40,564.2,2639.8,3.1,7.3,1.92,0.7,0.7,0.7,0.0,0.7,,246.0,6.4,3.55,1.3931,8.8,0.6406,4.03,0.0074,0.0594,0.7897,-0.0063,0.0321,-1.3129,10,random
55,450560,1900,32,575.0,2443.6,3.4,7.3,2.16,0.3333,0.0,0.8,0.0,0.3333,,231.5,5.81,2.75,1.3874,9.22,0.6247,4.0,0.0067,0.0607,0.8248,-0.0061,0.0306,-1.3052,10,random
56,458752,1944,44,585.8,2393.6,3.4,7.1,2.22,0.4231,0.2308,0.6154,0.0,0.4231,,190.5,5.23,-0.38,1.3788,8.87,0.6318,3.97,0.0073,0.0687,0.7876,-0.007,0.044,-1.3093,11,random
57,466944,1980,36,596.3,2541.0,3.2,7.1,2.0,0.75,0.4286,1.0,0.0,0.75,,238.9,5.83,6.5,1.3429,8.87,0.6153,3.83,0.0061,0.0571,0.7889,-0.0072,0.0344,-1.2829,11,random
58,475136,2013,33,607.3,2215.7,3.7,7.3,2.53,0.7857,0.5,0.9,0.0,0.7857,,240.7,5.94,8.0,1.3279,8.91,0.607,3.77,0.0061,0.0733,0.8091,-0.0053,0.0298,-1.2339,11,random
59,483328,2051,38,618.2,2337.2,3.5,7.3,2.3,0.5,0.4167,0.6667,0.0,0.5,,229.6,6.08,1.89,1.3794,9.17,0.6226,3.97,0.0049,0.0374,0.7263,-0.0063,0.0374,-1.2681,11,random
60,491520,2089,38,629.4,2237.5,3.7,7.2,2.5,0.5263,0.2857,0.6667,0.0,0.5263,,225.6,6.18,1.95,1.3366,8.65,0.6196,3.81,0.0069,0.0738,0.6846,-0.0054,0.0378,-1.2564,11,random
61,499712,2127,38,640.4,2257.4,3.6,7.1,2.45,0.72,0.6429,0.8182,0.0,0.72,,220.0,6.61,5.84,1.3461,9.53,0.5972,3.84,0.0048,0.0457,0.7867,-0.0062,0.0312,-1.2601,12,random
62,507904,2167,40,650.9,2528.7,3.2,7.0,2.06,0.4762,0.3077,0.75,0.0,0.4762,,198.7,5.45,-2.38,1.321,8.65,0.6124,3.75,0.0059,0.0508,0.7538,-0.0061,0.0372,-1.2545,12,random
63,516096,2193,26,660.8,2930.9,2.8,7.2,1.67,0.8462,0.6,1.0,0.0,0.8462,,240.7,6.31,15.92,1.2845,9.24,0.5777,3.61,0.0066,0.0618,0.7945,-0.0064,0.0247,-1.2095,12,random
64,524288,2231,38,671.4,2571.2,3.2,6.9,2.06,0.7333,0.7143,0.75,0.0,0.7333,,229.4,5.82,2.07,1.3399,9.9,0.5846,3.82,0.0077,0.0741,0.641,-0.0064,0.0447,-1.2567,12,random
65,532480,2257,26,681.5,2628.2,3.1,6.9,2.01,0.6,0.5,0.6667,0.0,0.6,,229.0,6.31,4.33,1.3154,9.42,0.5865,3.73,0.0079,0.0762,0.7962,-0.0072,0.0239,-1.2336,12,random
66,540672,2293,36,692.1,2345.1,3.5,7.0,2.33,0.6875,0.5,0.875,0.0,0.6875,,281.1,6.78,1.31,1.3247,9.49,0.5887,3.76,0.0057,0.0589,0.6473,-0.0064,0.041,-1.2412,13,random
67,548864,2334,41,702.8,2335.8,3.5,6.9,2.37,0.52,0.3333,0.6923,0.0,0.52,,224.9,6.51,2.12,1.3439,9.39,0.6,3.83,0.0071,0.0541,0.7406,-0.0074,0.0353,-1.2416,13,random
68,557056,2379,45,713.0,2511.7,3.3,6.9,2.09,0.85,0.75,1.0,0.0,0.85,,236.1,6.07,6.35,1.3464,8.94,0.6146,3.84,0.0075,0.0769,0.5057,-0.0075,0.0527,-1.281,13,random
69,565248,2407,28,722.9,2879.8,2.8,7.0,1.77,0.3529,0.3077,0.5,0.0,0.3529,,156.2,4.93,-2.0,1.2989,8.96,0.5923,3.67,0.0075,0.0779,0.675,-0.0081,0.0294,-1.238,13,random
70,573440,2437,30,733.1,2730.0,3.0,7.3,1.85,0.5,0.4286,0.6667,0.0,0.5,,261.6,6.23,-1.3,1.3437,9.48,0.5974,3.83,0.0065,0.0632,0.7507,-0.0059,0.0251,-1.25,13,random
71,581632,2469,32,743.6,2708.9,3.0,7.2,1.87,0.6429,0.5714,0.7143,0.0,0.6429,,285.5,7.16,7.64,1.3104,9.13,0.5925,3.71,0.0052,0.0531,0.7327,-0.0063,0.0328,-1.2235,14,random
72,589824,2508,39,754.6,2244.8,3.6,7.3,2.48,0.8095,0.8,0.8182,0.0,0.8095,,222.1,6.05,7.05,1.2864,8.72,0.594,3.62,0.0065,0.0488,0.7258,-0.0072,0.0347,-1.2197,14,random
73,598016,2543,35,765.8,2179.8,3.8,7.5,2.6,0.55,0.3333,0.875,0.0,0.55,,218.1,6.09,3.25,1.3047,9.35,0.5837,3.69,0.0079,0.0793,0.6537,-0.0068,0.0355,-1.2325,14,random
74,606208,2589,46,776.9,2379.0,3.4,7.2,2.29,0.7241,0.5,0.8095,0.0,0.7241,,220.0,6.2,7.86,1.3126,9.01,0.5972,3.72,0.0076,0.0572,0.7251,-0.0071,0.0373,-1.2109,14,random
75,614400,2631,42,787.5,2554.0,3.2,7.3,2.04,0.7,0.4545,1.0,0.0,0.7,,218.0,5.88,4.0,1.3056,8.8,0.6003,3.69,0.009,0.078,0.7633,-0.0063,0.0348,-1.2083,14,random
76,622592,2662,31,797.9,2701.5,3.0,7.1,1.88,0.6,0.5,0.6667,0.0,0.6,,197.7,4.97,6.1,1.272,8.95,0.5804,3.57,0.009,0.0703,0.7702,-0.007,0.035,-1.1559,15,random
77,630784,2701,39,808.5,2501.5,3.3,7.2,2.09,0.6316,0.5,0.7273,0.0,0.6316,,200.6,5.54,7.63,1.268,9.27,0.5693,3.55,0.0077,0.0697,0.7038,-0.0073,0.0437,-1.1839,15,random
78,638976,2739,38,818.9,2701.2,3.0,7.2,1.77,0.6111,0.375,0.8,0.0,0.6111,,204.3,5.55,6.44,1.2586,8.87,0.5767,3.52,0.0108,0.0767,0.7681,-0.0048,0.0342,-1.1719,15,random
79,647168,2774,35,829.6,2475.5,3.3,7.2,2.07,0.6667,0.7143,0.625,0.0,0.6667,,225.7,5.4,12.0,1.2716,9.2,0.5731,3.57,0.0074,0.0653,0.7074,-0.0071,0.0395,-1.1443,15,random
80,655360,2809,35,840.0,2721.9,3.0,7.3,1.82,0.6471,0.6364,0.6667,0.0,0.6471,,236.6,6.03,3.53,1.1936,8.29,0.5643,3.3,0.0081,0.0831,0.7381,-0.007,0.0372,-1.1206,15,random
81,663552,2856,47,851.0,2285.4,3.6,7.3,2.41,0.6522,0.6667,0.6364,0.0,0.6522,,206.6,5.53,8.3,1.2059,8.93,0.5507,3.34,0.0071,0.0597,0.7065,-0.0073,0.045,-1.1316,16,random
82,671744,2906,50,862.0,2271.3,3.6,7.4,2.41,0.6538,0.625,0.7,0.0,0.6538,,208.8,5.4,6.65,1.2234,8.88,0.5601,3.4,0.0065,0.0588,0.686,-0.0064,0.0494,-1.1372,16,random
83,679936,2944,38,873.3,2163.9,3.8,7.3,2.6,0.7826,0.7143,0.8889,0.0,0.7826,,182.4,5.55,10.3,1.1747,8.31,0.5546,3.24,0.012,0.0848,0.7514,-0.0043,0.0427,-1.0978,16,random
84,688128,2988,44,884.4,2269.0,3.6,7.3,2.4,0.65,0.5385,0.8571,0.0,0.65,,196.6,5.34,5.15,1.2694,9.37,0.5674,3.56,0.007,0.0492,0.7091,-0.0067,0.0411,-1.159,16,random
85,696320,3029,41,895.2,2419.3,3.4,7.3,2.17,0.6471,0.5,0.7273,0.0,0.6471,,194.0,5.2,4.59,1.209,8.32,0.5706,3.35,0.0076,0.0761,0.6833,-0.0078,0.0401,-1.1343,16,random
86,704512,3076,47,906.0,2471.8,3.3,7.4,2.11,0.7037,0.4444,0.8333,0.0,0.7037,,167.8,5.06,6.67,1.2568,9.31,0.5634,3.51,0.0086,0.0768,0.6896,-0.0057,0.0391,-1.1558,17,random
87,712704,3109,33,916.6,2642.0,3.1,7.4,1.93,0.8125,0.8,0.8333,0.0,0.8125,,209.1,5.52,8.0,1.1647,8.16,0.5549,3.2,0.0069,0.0695,0.738,-0.0071,0.0362,-1.0835,17,random
88,720896,3160,51,927.4,2512.1,3.3,7.3,2.07,0.7143,0.5556,0.8333,0.0,0.7143,,182.8,4.67,8.76,1.2264,8.63,0.5692,3.41,0.009,0.0684,0.7298,-0.0077,0.0469,-1.1155,17,random
89,729088,3204,44,938.1,2560.8,3.2,7.3,2.0,0.75,0.8,0.7,0.0,0.75,,164.6,4.5,10.6,1.1663,8.42,0.5473,3.21,0.0077,0.0742,0.6975,-0.0082,0.0542,-1.1139,17,random
90,737280,3257,53,949.0,2371.8,3.5,7.2,2.26,0.9091,0.9167,0.9,0.0,0.9091,,187.5,4.66,5.95,1.196,8.37,0.563,3.31,0.0072,0.0757,0.7654,-0.0065,0.0415,-1.1179,17,random
91,745472,3306,49,959.9,2287.8,3.6,7.3,2.35,0.8519,0.7273,0.9375,0.0,0.8519,,175.5,4.88,12.33,1.2523,9.63,0.553,3.5,0.0084,0.0743,0.7537,-0.0075,0.0478,-1.1324,18,random
92,753664,3339,33,970.5,2617.0,3.1,7.4,2.0,0.8333,0.875,0.8,0.0,0.8333,,173.2,4.64,8.78,1.169,8.92,0.5343,3.22,0.0065,0.0531,0.7697,-0.0073,0.0419,-1.1139,18,random
93,761856,3373,34,981.0,2804.6,2.9,7.2,1.76,0.6667,0.5,0.75,0.0,0.6667,,223.1,5.68,12.5,1.1665,8.73,0.5385,3.21,0.0078,0.0626,0.7642,-0.0082,0.0378,-1.0965,18,random
94,770048,3414,41,991.7,2448.4,3.3,7.3,2.21,0.5,0.4545,0.5556,0.0,0.5,,202.8,5.15,6.6,1.2131,9.63,0.5357,3.36,0.0078,0.0908,0.6953,-0.0056,0.0467,-1.1292,18,random
95,778240,3468,54,1002.6,2328.0,3.5,7.5,2.31,0.7742,0.6364,0.85,0.0,0.7742,,175.7,4.8,6.61,1.268,9.52,0.5628,3.55,0.0071,0.0817,0.5211,-0.0069,0.0576,-1.1564,18,random
96,786432,3513,45,1013.6,2502.8,3.3,7.3,2.13,0.8846,0.7857,1.0,0.0,0.8846,,214.5,5.33,9.42,1.205,8.98,0.5491,3.34,0.0076,0.0822,0.6015,-0.0079,0.0433,-1.1073,19,random
97,794624,3558,45,1024.6,2289.2,3.6,7.7,2.4,0.75,0.7857,0.7143,0.0,0.75,,164.3,4.6,9.36,1.2489,10.02,0.5418,3.49,0.0072,0.0608,0.5936,-0.0076,0.0536,-1.1582,19,random
98,802816,3605,47,1036.0,2345.7,3.5,7.4,2.27,0.7308,0.8333,0.6429,0.0,0.7308,,163.7,4.47,8.42,1.1946,8.58,0.5558,3.3,0.0074,0.0697,0.6475,-0.0071,0.0433,-1.1195,19,random
99,811008,3650,45,1046.8,2471.4,3.3,7.4,2.12,0.7083,0.6875,0.75,0.0,0.7083,,180.9,4.71,3.38,1.1888,8.78,0.5473,3.28,0.0101,0.0944,0.5651,-0.0076,0.0514,-1.1188,19,random
100,819200,3700,50,1058.0,2247.5,3.6,7.4,2.43,0.75,0.7143,0.7857,0.0,0.75,,189.2,4.92,8.43,1.2701,9.78,0.5571,3.56,0.0077,0.0695,0.5704,-0.0071,0.0545,-1.155,19,random
101,827392,3727,27,1068.8,2518.3,3.3,7.5,2.06,1.0,1.0,1.0,0.0,1.0,,179.7,4.63,12.25,1.254,9.4,0.5595,3.5,0.0076,0.0681,0.6873,-0.0072,0.0325,-1.1745,20,random
102,835584,3762,35,1079.8,2473.9,3.3,7.5,2.07,0.7273,0.7143,0.75,0.0,0.7273,,210.8,5.94,6.18,1.1989,9.13,0.5421,3.32,0.0096,0.0936,0.7124,-0.0086,0.0305,-1.1043,20,random
103,843776,3795,33,1090.3,2842.7,2.9,7.6,1.65,0.8571,1.0,0.6667,0.0,0.8571,,235.1,5.64,7.07,1.2169,9.68,0.536,3.38,0.0086,0.0839,0.7008,-0.006,0.0322,-1.1691,20,random
104,851968,3828,33,1101.3,2555.6,3.2,7.6,2.01,0.8235,0.875,0.7778,0.0,0.8235,,277.0,6.21,8.35,1.2579,10.15,0.5427,3.52,0.0087,0.0761,0.7051,-0.0079,0.0322,-1.1509,20,random
105,860160,3857,29,1112.1,2716.1,3.0,7.5,1.84,0.5882,0.6,0.5714,0.0,0.5882,,235.8,5.86,5.65,1.226,10.74,0.5163,3.41,0.0111,0.0827,0.7143,-0.0074,0.0308,-1.1338,20,random
106,868352,3886,29,1122.7,2763.7,3.0,7.5,1.77,0.5,0.375,0.75,0.0,0.5,,289.4,5.97,7.33,1.2041,10.32,0.5158,3.33,0.0089,0.0749,0.6064,-0.0082,0.035,-1.1037,21,random
107,876544,3920,34,1133.3,2807.5,2.9,7.7,1.72,0.7692,0.6,0.875,0.0,0.7692,,257.7,5.74,8.92,1.1992,10.12,0.5181,3.32,0.0087,0.0768,0.6725,-0.0098,0.0319,-1.133,21,random
108,884736,3949,29,1144.4,2498.3,3.3,7.5,2.1,0.7647,0.7778,0.75,0.0,0.7647,,241.1,6.07,10.65,1.1708,9.42,0.522,3.22,0.0096,0.084,0.7169,-0.0086,0.0275,-1.1017,21,random
109,892928,3983,34,1155.4,2446.1,3.3,7.5,2.13,0.9231,0.875,1.0,0.0,0.9231,,270.4,5.71,10.85,1.2361,10.68,0.5219,3.44,0.008,0.0822,0.7258,-0.0077,0.0356,-1.1436,21,random
110,901120,4017,34,1166.5,2306.7,3.6,7.5,2.32,0.9444,0.8571,1.0,0.0,0.9444,,226.9,5.65,7.89,1.1948,9.82,0.5231,3.3,0.0085,0.0655,0.7478,-0.0089,0.0349,-1.1175,21,random
111,909312,4063,46,1177.4,2510.3,3.3,7.6,2.0,0.7083,0.6364,0.7692,0.0,0.7083,,222.1,5.24,5.83,1.2154,10.35,0.52,3.37,0.0075,0.0711,0.7188,-0.0088,0.0375,-1.1023,22,random
112,917504,4101,38,1188.3,2533.1,3.2,7.4,2.05,0.7143,0.6364,1.0,0.0,0.7143,,252.3,5.71,2.21,1.1388,9.16,0.5142,3.12,0.0109,0.0834,0.6135,-0.0069,0.0413,-1.0645,22,random
113,925696,4144,43,1199.2,2478.2,3.3,7.4,2.13,0.76,0.6667,0.8462,0.0,0.76,,162.0,4.51,5.96,1.1771,9.94,0.5126,3.24,0.0079,0.0871,0.7144,-0.0068,0.0417,-1.0931,22,random
114,933888,4179,35,1209.9,2697.3,3.0,7.7,1.79,0.9286,0.8571,1.0,0.0,0.9286,,214.0,4.89,9.43,1.1164,9.31,0.5005,3.05,0.0081,0.0865,0.7042,-0.0074,0.0339,-1.054,22,random
