update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size
17,139264,664,35,279.3,1377.1,0.5926,0.1429,0.75,0.0,0.5,0.6471,214.9,6.43,1.7219,10.72,0.726,5.6,0.0024,0.0108,0.8296,-0.0024,0.0265,-1.5807,3
18,147456,706,42,295.8,1321.0,0.68,0.4545,0.8571,0.0,0.6,0.7333,231.2,6.29,1.6971,10.39,0.725,5.46,0.0033,0.0131,0.7639,-0.0032,0.0373,-1.5967,3
19,155648,753,47,312.2,1321.9,0.5676,0.3333,0.7895,0.0,0.5333,0.5909,204.1,6.04,1.6727,9.92,0.7289,5.33,0.0022,0.0152,0.7919,-0.0025,0.0377,-1.568,3
20,163840,795,42,331.1,1007.7,0.6333,0.4375,0.8571,0.0,0.6364,0.6316,167.5,5.1,1.6829,9.99,0.7312,5.38,0.0025,0.0121,0.8009,-0.0025,0.0356,-1.5566,3
21,172032,847,52,348.6,1252.9,0.5882,0.2,0.75,0.0,0.6667,0.5,180.8,5.13,1.6872,9.74,0.7411,5.4,0.0026,0.0101,0.7718,-0.003,0.0458,-1.5625,4
22,180224,888,41,365.7,1249.0,0.6452,0.5263,0.8333,0.0,0.6,0.6667,167.6,5.17,1.6808,9.81,0.736,5.37,0.0032,0.0144,0.781,-0.0027,0.0417,-1.5536,4
23,188416,926,38,382.6,1384.6,0.48,0.4444,0.5714,0.0,0.4167,0.5385,171.8,5.26,1.6772,9.82,0.7341,5.35,0.0028,0.0183,0.8002,-0.0028,0.0373,-1.5499,4
24,196608,971,45,399.5,1406.2,0.56,0.1818,0.8571,0.0,0.9,0.3333,201.5,5.11,1.6229,9.38,0.7251,5.07,0.0037,0.0135,0.8044,-0.0033,0.036,-1.5263,4
25,204800,1015,44,417.1,1260.0,0.5312,0.4444,0.6429,0.0,0.7778,0.4348,189.5,5.36,1.643,9.5,0.7297,5.17,0.0037,0.0219,0.7994,-0.0036,0.0378,-1.5306,4
26,212992,1058,43,435.8,1070.2,0.5,0.3571,0.6429,0.0,0.5833,0.4375,203.8,5.56,1.6307,9.8,0.7145,5.11,0.0047,0.0253,0.7801,-0.0035,0.0421,-1.5152,5
27,221184,1111,53,454.5,1069.7,0.45,0.3158,0.5714,0.0,0.3,0.6,193.7,5.79,1.5829,9.24,0.7117,4.87,0.005,0.0309,0.7227,-0.004,0.0563,-1.4714,5
28,229376,1155,44,472.8,1129.2,0.6471,0.3333,0.8947,0.0,0.7143,0.6,159.5,5.2,1.5546,9.71,0.6839,4.73,0.0042,0.0356,0.8022,-0.0047,0.0321,-1.4535,5
29,237568,1204,49,490.7,1228.6,0.6471,0.4706,0.8235,0.0,0.6842,0.6,156.4,5.0,1.5567,9.07,0.706,4.74,0.0041,0.0232,0.7116,-0.0032,0.0513,-1.4398,5
30,245760,1253,49,507.8,1312.1,0.4062,0.1579,0.7692,0.0,0.6,0.3182,173.3,5.0,1.611,10.28,0.6914,5.01,0.003,0.0186,0.7997,-0.0025,0.039,-1.4856,5
31,253952,1300,47,525.7,1176.2,0.7879,0.5,1.0,0.0,0.9,0.7391,165.4,5.19,1.5653,9.44,0.6972,4.78,0.0048,0.0363,0.8181,-0.0042,0.038,-1.4476,6
32,262144,1341,41,543.5,1194.9,0.6071,0.3333,0.8125,0.0,0.7647,0.3636,190.3,5.41,1.5436,9.74,0.6782,4.68,0.0026,0.011,0.834,-0.0026,0.0336,-1.4598,6
33,270336,1384,43,561.4,1165.3,0.4615,0.2667,0.7273,0.0,0.5833,0.3571,170.5,4.91,1.5681,10.0,0.6811,4.8,0.0041,0.0321,0.8107,-0.0041,0.0363,-1.4615,6
34,278528,1432,48,579.2,1223.2,0.5,0.3158,0.7333,0.0,0.4167,0.5455,209.0,5.94,1.5774,10.43,0.6727,4.84,0.003,0.0226,0.8283,-0.0033,0.0366,-1.4781,6
35,286720,1479,47,595.8,1367.6,0.6667,0.3846,0.8824,0.0333,0.5714,0.6957,177.3,5.23,1.5454,9.67,0.6812,4.69,0.0042,0.024,0.8409,-0.0033,0.037,-1.4298,6
36,294912,1532,53,613.0,1165.3,0.5,0.32,0.7647,0.0,0.5294,0.48,156.9,5.17,1.5542,9.89,0.6781,4.73,0.0027,0.0161,0.8199,-0.0024,0.0392,-1.4705,7
37,303104,1576,44,629.5,1311.6,0.7879,0.6154,0.9,0.0,0.7895,0.7857,145.5,4.57,1.5614,9.98,0.6788,4.77,0.0045,0.0309,0.8163,-0.0037,0.0403,-1.4422,7
38,311296,1628,52,646.1,1271.3,0.5946,0.4706,0.7,0.0,0.5455,0.6154,176.6,5.44,1.5579,9.95,0.6781,4.75,0.0038,0.022,0.7874,-0.0035,0.0485,-1.4235,7
39,319488,1675,47,662.4,1347.5,0.4211,0.1667,0.65,0.0,0.6154,0.32,175.3,5.87,1.5522,9.77,0.6811,4.72,0.0042,0.0298,0.826,-0.0035,0.0353,-1.4525,7
40,327680,1721,46,679.0,1279.7,0.5455,0.3158,0.8571,0.0,0.375,0.6,190.0,5.8,1.5412,9.46,0.6859,4.67,0.0049,0.028,0.8424,-0.004,0.0366,-1.4309,7
41,335872,1769,48,696.1,1200.0,0.5143,0.2778,0.7647,0.0,0.6,0.45,182.7,5.58,1.5935,10.23,0.6853,4.92,0.0043,0.0244,0.8098,-0.0036,0.0411,-1.4729,8
42,344064,1817,48,713.5,1203.3,0.6,0.45,0.8,0.0,0.5333,0.65,172.2,5.33,1.5846,10.03,0.6874,4.88,0.0053,0.0302,0.7887,-0.004,0.0454,-1.4591,8
43,352256,1864,47,729.8,1367.7,0.5946,0.6111,0.5789,0.0,0.5833,0.6,162.0,5.4,1.5591,9.6,0.6894,4.75,0.0039,0.0266,0.7693,-0.0038,0.0483,-1.4439,8
44,360448,1917,53,747.4,1200.6,0.5135,0.5263,0.5,0.0,0.5833,0.48,170.1,5.17,1.5888,9.96,0.6911,4.9,0.0036,0.0263,0.7723,-0.0037,0.0492,-1.4377,8
45,368640,1963,46,764.9,1187.8,0.7353,0.5714,0.85,0.0,0.7143,0.75,171.0,5.46,1.5784,10.37,0.6748,4.85,0.0038,0.0274,0.7915,-0.004,0.0406,-1.4746,8
46,376832,2020,57,781.9,1262.7,0.6585,0.4,0.9048,0.0244,0.5789,0.7273,149.6,4.84,1.5252,9.57,0.6752,4.6,0.0033,0.0211,0.7701,-0.0036,0.0441,-1.4334,9
47,385024,2059,39,798.3,1387.5,0.5,0.2222,0.6471,0.0,0.3846,0.6154,143.8,4.56,1.527,9.86,0.6671,4.6,0.004,0.0384,0.7879,-0.0036,0.0425,-1.4386,9
48,393216,2102,43,815.1,1266.7,0.6129,0.4737,0.8333,0.0,0.4615,0.7222,185.4,5.6,1.5925,10.52,0.6768,4.92,0.0041,0.0325,0.7773,-0.0037,0.0425,-1.4461,9
49,401408,2150,48,832.2,1262.9,0.8889,0.8333,0.9333,0.0,0.8571,0.9231,213.8,5.73,1.5945,10.74,0.6717,4.93,0.0039,0.0318,0.7968,-0.0047,0.0426,-1.4795,9
50,409600,2189,39,848.5,1324.6,0.4815,0.3684,0.75,0.037,0.2727,0.625,170.4,5.36,1.4964,9.65,0.6601,4.47,0.005,0.0486,0.8032,-0.0058,0.0377,-1.3947,9
51,417792,2236,47,866.0,1180.7,0.625,0.5882,0.6667,0.0,0.5294,0.7333,195.9,5.77,1.4991,9.41,0.6687,4.48,0.0039,0.0258,0.7572,-0.0042,0.0488,-1.3699,10
52,425984,2282,46,882.1,1420.8,0.6061,0.3636,0.7273,0.0,0.4706,0.75,167.8,5.09,1.4912,9.47,0.6632,4.44,0.0043,0.0281,0.7913,-0.0038,0.0405,-1.4124,10
53,434176,2326,44,898.5,1281.2,0.5667,0.3529,0.8462,0.0,0.3333,0.6667,167.5,5.09,1.4862,9.8,0.6513,4.42,0.0037,0.0203,0.7774,-0.0042,0.04,-1.3795,10
54,442368,2373,47,915.7,1211.6,0.4138,0.3684,0.5,0.0,0.5556,0.35,191.7,5.47,1.4815,9.98,0.6441,4.4,0.0041,0.0298,0.7282,-0.0045,0.0503,-1.3531,10
55,450560,2420,47,934.3,1084.3,0.7879,0.5,1.0,0.0,0.6429,0.8947,191.0,5.49,1.4756,9.89,0.6439,4.37,0.0043,0.0314,0.8122,-0.0044,0.0354,-1.3685,10
56,458752,2466,46,953.1,1049.9,0.6667,0.4286,0.8182,0.0,0.7059,0.6316,156.8,5.17,1.4716,9.64,0.6494,4.36,0.0037,0.0282,0.8008,-0.0041,0.0407,-1.3811,11
57,466944,2513,47,971.1,1160.6,0.6579,0.5385,0.72,0.0,0.6154,0.68,182.4,5.53,1.4831,9.58,0.6563,4.41,0.0041,0.0407,0.7384,-0.0044,0.0488,-1.4041,11
58,475136,2562,49,989.4,1165.2,0.6667,0.5556,0.8,0.0,0.6154,0.7,173.4,4.94,1.4742,9.75,0.6473,4.37,0.0045,0.0321,0.7563,-0.0047,0.0423,-1.4044,11
59,483328,2616,54,1007.5,1175.5,0.575,0.56,0.6,0.0,0.5714,0.5769,162.0,4.93,1.498,9.72,0.6587,4.47,0.0037,0.0241,0.6573,-0.0045,0.0642,-1.3832,11
60,491520,2655,39,1026.0,1203.0,0.5806,0.5556,0.6154,0.0,0.4545,0.65,177.1,5.23,1.4641,9.52,0.6496,4.32,0.0034,0.0217,0.7719,-0.0041,0.0407,-1.3777,11
61,499712,2691,36,1044.0,1179.8,0.625,0.4,0.7857,0.0,0.4545,0.7692,194.1,5.47,1.4894,9.94,0.6484,4.43,0.0041,0.0297,0.8029,-0.0044,0.0326,-1.3635,12
62,507904,2732,41,1062.1,1165.7,0.6207,0.5,0.8182,0.0,0.6154,0.625,207.2,5.95,1.4831,9.98,0.6448,4.41,0.004,0.0212,0.8004,-0.0043,0.0336,-1.3866,12
63,516096,2762,30,1080.2,1166.0,0.7143,0.6667,0.7778,0.0,0.5,0.9091,202.0,5.7,1.4139,9.5,0.6281,4.11,0.0046,0.0333,0.8224,-0.0055,0.0317,-1.3455,12
64,524288,2806,44,1098.5,1111.3,0.6333,0.5,0.7857,0.0,0.7143,0.5625,216.3,5.93,1.4331,9.44,0.6383,4.19,0.0032,0.0191,0.7572,-0.0035,0.0433,-1.3357,12
65,532480,2849,43,1116.4,1187.4,0.625,0.4667,0.7647,0.0,0.375,0.7083,207.3,5.77,1.451,10.0,0.6302,4.27,0.0036,0.0272,0.808,-0.0042,0.0344,-1.3496,12
66,540672,2888,39,1134.4,1206.7,0.5,0.5625,0.375,0.0417,0.3636,0.6154,234.1,6.05,1.4491,10.16,0.6251,4.26,0.0044,0.0338,0.7886,-0.0042,0.036,-1.334,13
67,548864,2932,44,1152.6,1114.6,0.6364,0.4706,0.8125,0.0,0.4615,0.75,183.1,5.5,1.4514,10.21,0.6246,4.27,0.004,0.0331,0.6847,-0.004,0.0456,-1.3128,13
68,557056,2972,40,1170.4,1159.0,0.7241,0.4545,0.8889,0.0,0.7,0.7368,194.7,5.7,1.4144,9.9,0.6171,4.11,0.0045,0.0308,0.774,-0.0051,0.04,-1.3143,13
69,565248,3018,46,1188.2,1186.2,0.697,0.6,0.7778,0.0,0.6667,0.7222,197.6,5.67,1.4032,9.39,0.6265,4.07,0.0037,0.0253,0.775,-0.0039,0.044,-1.3023,13
70,573440,3048,30,1206.4,1121.2,0.6667,0.5714,0.7273,0.0,0.5556,0.7778,211.7,5.77,1.3254,8.93,0.6055,3.76,0.004,0.03,0.8271,-0.0051,0.0302,-1.2439,13
71,581632,3100,52,1224.3,1173.8,0.6562,0.5882,0.7333,0.0312,0.5,0.7778,187.8,5.52,1.3246,9.09,0.6002,3.76,0.0053,0.0448,0.7332,-0.0057,0.0435,-1.2536,14
72,589824,3147,47,1242.8,1059.4,0.3929,0.3889,0.4,0.0357,0.2727,0.4706,186.1,5.36,1.3206,9.52,0.5859,3.75,0.0045,0.0327,0.7211,-0.0052,0.0395,-1.2344,14
73,598016,3197,50,1261.1,1100.0,0.675,0.52,0.9333,0.0,0.6,0.75,155.8,5.28,1.3396,9.49,0.5954,3.82,0.0052,0.0357,0.6792,-0.0054,0.0504,-1.2249,14
74,606208,3237,40,1278.5,1246.7,0.7,0.6667,0.7222,0.0333,0.5556,0.7619,165.8,5.38,1.3199,9.52,0.5856,3.74,0.0053,0.0463,0.7572,-0.0052,0.0387,-1.2024,14
75,614400,3281,44,1296.9,1106.4,0.68,0.6,0.8,0.0,0.4167,0.9231,221.3,5.95,1.3298,9.68,0.5858,3.78,0.0049,0.0472,0.7305,-0.0053,0.0417,-1.2531,14
76,622592,3326,45,1315.4,1075.6,0.7222,0.4118,1.0,0.0,0.7,0.75,168.3,5.36,1.3356,9.23,0.6009,3.8,0.006,0.0479,0.752,-0.0049,0.0348,-1.2553,15
77,630784,3374,48,1333.8,1091.8,0.7188,0.5833,0.8,0.0,0.6,0.8235,179.3,5.31,1.33,9.62,0.5874,3.78,0.0057,0.049,0.7227,-0.0063,0.0435,-1.2421,15
78,638976,3416,42,1350.7,1339.8,0.7097,0.5625,0.8667,0.0,0.5385,0.8333,179.4,5.52,1.2934,8.98,0.5891,3.65,0.0048,0.0332,0.7744,-0.0054,0.039,-1.2092,15
79,647168,3465,49,1367.4,1238.3,0.8,0.7059,0.8696,0.0,0.8125,0.7917,159.6,5.14,1.3672,9.78,0.5996,3.92,0.0055,0.0597,0.7857,-0.0044,0.0401,-1.2538,15
80,655360,3518,53,1384.1,1252.0,0.6667,0.4737,0.8824,0.0278,0.5882,0.7368,184.2,5.26,1.2738,8.82,0.585,3.57,0.0057,0.0528,0.7366,-0.0045,0.0448,-1.2047,15
81,663552,3562,44,1400.7,1271.4,0.8125,0.8333,0.7857,0.0,0.9286,0.7222,193.3,5.77,1.2992,9.03,0.5904,3.67,0.0057,0.0486,0.7387,-0.0056,0.0415,-1.2215,16
82,671744,3612,50,1416.3,1492.3,0.8571,0.9231,0.8182,0.0,0.8667,0.85,173.3,5.12,1.3194,9.33,0.5909,3.74,0.0055,0.0538,0.6966,-0.006,0.0423,-1.2364,16
83,679936,3647,35,1432.3,1437.4,0.8462,0.8571,0.8333,0.0,0.7143,0.8947,166.4,5.2,1.2938,9.17,0.584,3.65,0.0059,0.0522,0.7175,-0.0057,0.0391,-1.2139,16
84,688128,3696,49,1448.3,1385.5,0.7143,0.65,0.8,0.0286,0.5625,0.8421,176.8,5.18,1.3085,9.11,0.5923,3.7,0.0059,0.044,0.7736,-0.0059,0.0426,-1.2315,16
85,696320,3738,42,1464.3,1412.1,0.7241,0.6,1.0,0.0,0.6667,0.7391,171.5,5.02,1.2968,9.29,0.5819,3.66,0.0068,0.0541,0.7312,-0.0045,0.0442,-1.2088,16
86,704512,3785,47,1480.7,1305.4,0.7333,0.5556,1.0,0.0,0.5,0.8889,209.2,5.68,1.2712,9.0,0.5785,3.57,0.0043,0.0351,0.746,-0.0056,0.0443,-1.1876,17
87,712704,3816,31,1496.9,1316.0,0.7391,0.5,1.0,0.0,0.7857,0.6667,187.3,5.74,1.2869,9.53,0.5709,3.62,0.0046,0.032,0.8206,-0.0049,0.0279,-1.1929,17
88,720896,3849,33,1513.2,1361.1,0.5789,0.3333,0.6923,0.0,0.375,0.7273,211.9,5.76,1.2766,9.5,0.5669,3.58,0.005,0.0349,0.6787,-0.0054,0.0382,-1.2146,17
89,729088,3894,45,1529.7,1308.8,0.6452,0.5714,0.7059,0.0323,0.6429,0.6471,224.8,6.11,1.2932,9.38,0.5776,3.64,0.0045,0.0372,0.6719,-0.0049,0.0384,-1.2131,17
90,737280,3937,43,1547.0,1200.6,0.5938,0.4545,0.9,0.0,0.625,0.5625,194.5,5.74,1.2589,9.11,0.5698,3.52,0.0059,0.0626,0.6714,-0.0058,0.0398,-1.1925,17
91,745472,3978,41,1564.6,1227.7,0.7778,0.7059,0.9,0.0,0.5556,0.8889,218.4,5.88,1.299,9.77,0.5698,3.67,0.0054,0.0423,0.6656,-0.0057,0.0408,-1.1973,18
